timestamp,temperature,radiation,gas,humidity,pressure,energy_consumption,anomaly
2025-01-01 00:00:00,304.52,0.3108,0.02,49.86,103.65,41.58,0
2025-01-01 00:01:00,310.88,0.4148,0.02,50.19,100.11,43.7,0
2025-01-01 00:02:00,296.13,0.2764,0.01,53.56,105.45,38.65,0
2025-01-01 00:03:00,303.38,0.1675,0.02,45.32,106.15,43.99,0
2025-01-01 00:04:00,290.96,0.255,0.01,58.17,103.6,37.13,0
2025-01-01 00:05:00,306.91,0.3173,0.02,55.06,109.75,35.91,0
2025-01-01 00:06:00,292.01,0.4629,0.02,48.13,104.56,38.69,0
2025-01-01 00:07:00,309.44,0.4083,0.01,47.68,102.12,35.47,0
2025-01-01 00:08:00,291.4,0.1587,0.01,48.46,100.64,43.47,0
2025-01-01 00:09:00,307.8,0.4135,0.02,53.28,101.13,35.58,0
2025-01-01 00:10:00,314.73,0.2492,0.01,43.19,108.74,37.06,0
2025-01-01 00:11:00,301.68,0.367,0.02,40.28,104.88,44.96,0
2025-01-01 00:12:00,293.04,0.1495,0.01,50.16,103.48,42.16,0
2025-01-01 00:13:00,304.28,0.3323,0.02,59.84,105.39,35.72,0
2025-01-01 00:14:00,298.05,0.4123,0.02,53.68,109.22,39.44,0
2025-01-01 00:15:00,290.49,0.496,0.02,41.95,105.49,40.9,0
2025-01-01 00:16:00,304.11,0.486,0.01,40.69,109.2,36.91,0
2025-01-01 00:17:00,308.74,0.1816,0.02,58.13,101.05,36.47,0
2025-01-01 00:18:00,313.13,0.4083,0.01,43.64,104.12,43.64,0
2025-01-01 00:19:00,293.78,0.3897,0.01,49.34,107.29,35.65,0
2025-01-01 00:20:00,295.11,0.4167,0.01,53.35,106.42,40.2,0
2025-01-01 00:21:00,295.04,0.2668,0.02,57.63,107.98,41.07,0
2025-01-01 00:22:00,295.71,0.1867,0.02,53.29,103.58,44.71,0
2025-01-01 00:23:00,312.24,0.3686,0.02,46.18,109.39,39.43,0
2025-01-01 00:24:00,310.0,0.4759,0.02,53.06,100.86,41.53,0
2025-01-01 00:25:00,295.38,0.3682,0.01,49.9,105.21,39.84,0
2025-01-01 00:26:00,308.92,0.4018,0.02,52.63,109.04,40.76,0
2025-01-01 00:27:00,298.71,0.1237,0.02,44.55,103.87,35.5,0
2025-01-01 00:28:00,306.02,0.4547,0.01,56.1,101.26,42.23,0
2025-01-01 00:29:00,291.99,0.2035,0.02,43.14,101.84,41.99,0
2025-01-01 00:30:00,292.39,0.4736,0.02,47.13,106.29,42.19,0
2025-01-01 00:31:00,304.86,0.3473,0.02,57.62,109.14,43.85,0
2025-01-01 00:32:00,307.13,0.2967,0.02,55.43,109.24,35.88,0
2025-01-01 00:33:00,311.92,0.4399,0.01,53.13,109.72,43.52,0
2025-01-01 00:34:00,291.57,0.4701,0.01,41.45,102.28,39.83,0
2025-01-01 00:35:00,310.38,0.2068,0.02,42.82,102.92,44.02,0
2025-01-01 00:36:00,307.02,0.3696,0.01,42.92,108.87,44.44,0
2025-01-01 00:37:00,291.34,0.3121,0.02,54.77,103.02,41.21,0
2025-01-01 00:38:00,292.06,0.4292,0.01,46.28,103.78,37.07,0
2025-01-01 00:39:00,310.22,0.1275,0.02,58.61,108.27,44.52,0
2025-01-01 00:40:00,309.03,0.325,0.02,40.08,106.85,35.42,0
2025-01-01 00:41:00,312.19,0.4586,0.01,53.59,106.68,39.98,0
2025-01-01 00:42:00,290.63,0.1456,0.02,50.59,100.46,40.18,0
2025-01-01 00:43:00,311.23,0.4562,0.02,53.25,107.69,36.33,0
2025-01-01 00:44:00,294.75,0.2943,0.02,43.69,106.78,42.41,0
2025-01-01 00:45:00,296.77,0.2252,0.01,45.57,103.65,39.41,0
2025-01-01 00:46:00,302.1,0.294,0.02,46.88,105.03,40.06,0
2025-01-01 00:47:00,292.42,0.3517,0.01,40.94,106.47,35.48,0
2025-01-01 00:48:00,301.05,0.3485,0.02,50.3,103.18,39.92,0
2025-01-01 00:49:00,294.89,0.2752,0.02,42.72,105.3,41.21,0
2025-01-01 00:50:00,297.83,0.3944,0.02,49.28,106.4,43.4,0
2025-01-01 00:51:00,305.01,0.3275,0.02,53.51,104.03,43.37,0
2025-01-01 00:52:00,313.1,0.3487,0.02,54.89,104.23,39.96,0
2025-01-01 00:53:00,304.25,0.4756,0.02,50.17,101.23,41.67,0
